Entity,Code,AvgLifeExpectancyDiffFM
Afghanistan,AFG,3.1517319125000003
Albania,ALB,5.602567716666667
Algeria,DZA,2.6944694463888887
American Samoa,ASM,5.3515086625
Andorra,AND,5.292184020833333
Angola,AGO,5.145477398611111
Anguilla,AIA,5.905345727777778
Antigua and Barbuda,ATG,5.252385816666667
Argentina,ARG,6.880996195833333
Armenia,ARM,7.235302527777778
Aruba,ABW,6.635931034722222
Australia,AUS,5.7254242458333335
Austria,AUT,6.1439648125
Azerbaijan,AZE,7.808667919444445
Bahamas,BHS,6.362030715277777
Bahrain,BHR,2.164483188888889
Bangladesh,BGD,0.1612041763888888
Barbados,BRB,4.427962094444444
Belarus,BLR,9.269154104166667
Belgium,BEL,5.924433252777778
Belize,BLZ,4.247918016666667
Benin,BEN,3.014248526388889
Bermuda,BMU,6.956081818055555
Bhutan,BTN,2.4321956888888887
Bolivia,BOL,3.8079099652777777
Bonaire Sint Eustatius and Saba,BES,4.830223384722222
Bosnia and Herzegovina,BIH,6.203148631944444
Botswana,BWA,5.055005638888889
Brazil,BRA,5.680658513888889
British Virgin Islands,VGB,3.1150238106944443
Brunei,BRN,2.7888457544444445
Bulgaria,BGR,5.635886452777778
Burkina Faso,BFA,2.5634348597222223
Burundi,BDI,3.224752738888889
Cambodia,KHM,5.903186002777778
Cameroon,CMR,3.0724359680555557
Canada,CAN,5.7271429625
Cape Verde,CPV,4.514606698611112
Cayman Islands,CYM,5.418952973611111
Central African Republic,CAF,2.8983790097222224
Chad,TCD,3.2478835875
Chile,CHL,5.5166376
China,CHN,4.491142809722223
Colombia,COL,5.973584315277778
Comoros,COM,2.651388750416667
Congo,COG,3.961470808333333
Cook Islands,COK,4.232261009583334
Costa Rica,CRI,4.236065238888889
Cote d'Ivoire,CIV,3.239941538888889
Croatia,HRV,6.885834855555555
Cuba,CUB,4.0944637125
Curacao,CUW,5.310488952777778
Cyprus,CYP,5.650498481944444
Czechia,CZE,6.475873411111111
Democratic Republic of Congo,COD,2.8818654569444444
Denmark,DNK,4.645204009722223
Djibouti,DJI,3.9439025930555554
Dominica,DMA,4.344743108333334
Dominican Republic,DOM,5.155708191666666
East Timor,TLS,5.142680669444444
Ecuador,ECU,4.756556915277778
Egypt,EGY,4.143673154166667
El Salvador,SLV,8.457922309722223
Equatorial Guinea,GNQ,3.4831222930555557
Eritrea,ERI,4.4816973805555556
Estonia,EST,9.437858593055555
Eswatini,SWZ,4.024019394444444
Ethiopia,ETH,3.9636250916666667
Falkland Islands,FLK,3.9384288569444443
Faroe Islands,FRO,4.066254608472223
Fiji,FJI,3.9224219263888886
Finland,FIN,7.232785473611111
France,FRA,7.2227665125
French Guiana,GUF,7.1639486805555554
French Polynesia,PYF,3.676447223611111
Gabon,GAB,3.1658319402777777
Gambia,GMB,2.9075182569444444
Georgia,GEO,8.613341877777778
Germany,DEU,5.752015230555555
Ghana,GHA,3.5332610875
Gibraltar,GIB,4.761311480555555
Greece,GRC,5.144962415277778
Greenland,GRL,4.754834699027778
Grenada,GRD,4.940899009722222
Guadeloupe,GLP,6.456036023611111
Guam,GUM,6.208339131944444
Guatemala,GTM,4.83324152263889
Guernsey,GGY,5.288175380555556
Guinea,GIN,2.1632236883333333
Guinea-Bissau,GNB,4.7121111763888885
Guyana,GUY,5.703197486111112
Haiti,HTI,3.795668275277778
Honduras,HND,3.8951207847222222
Hong Kong,HKG,6.835677288888889
Hungary,HUN,6.785613211111111
Iceland,ISL,4.601044329166666
India,IND,0.6667681312500002
Indonesia,IDN,3.3601431388888887
Iran,IRN,2.752132255083333
Iraq,IRQ,7.468637455555555
Ireland,IRL,4.609356981944445
Isle of Man,IMN,7.749933555555556
Israel,ISR,3.5427254597222224
Italy,ITA,5.560316781944445
Jamaica,JAM,3.2895553375
Japan,JPN,5.6432069125
Jersey,JEY,5.390700141666667
Jordan,JOR,2.4940168705555554
Kazakhstan,KAZ,9.763548570833333
Kenya,KEN,3.397099811111111
Kiribati,KIR,3.1263475416666666
Kosovo,OWID_KOS,3.596015026388889
Kuwait,KWT,3.8573866944444446
Kyrgyzstan,KGZ,7.594726498611111
Laos,LAO,3.2159149930555557
Latvia,LVA,9.5381123
Lebanon,LBN,5.467295783333333
Lesotho,LSO,6.980066456944444
Liberia,LBR,3.4215708027777776
Libya,LBY,3.981715156944445
Liechtenstein,LIE,5.420689792361111
Lithuania,LTU,9.3387072375
Luxembourg,LUX,5.957735641666667
Macao,MAC,4.531366555555556
Madagascar,MDG,2.5943471083333334
Malawi,MWI,4.027895625
Malaysia,MYS,3.850783040277778
Maldives,MDV,1.3003435633333331
Mali,MLI,1.4668443244444445
Malta,MLT,4.104380547222222
Marshall Islands,MHL,5.595408259722222
Martinique,MTQ,5.943675379166667
Mauritania,MRT,2.686954072361111
Mauritius,MUS,6.405808329166667
Mayotte,MYT,4.7902762675
Mexico,MEX,5.604185697222222
Micronesia (country),FSM,5.78783095
Moldova,MDA,7.904118197222222
Monaco,MCO,6.743708495833333
Mongolia,MNG,5.879962397222222
Montenegro,MNE,5.938221319444445
Montserrat,MSR,2.9042827315277777
Morocco,MAR,2.7262333722222225
Mozambique,MOZ,3.463572126388889
Myanmar,MMR,4.779946055555556
Namibia,NAM,5.517366669444445
Nauru,NRU,5.1005247375
Nepal,NPL,1.428529473888889
Netherlands,NLD,4.845888666666666
New Caledonia,NCL,6.722718519444444
New Zealand,NZL,5.191448202777778
Nicaragua,NIC,5.508228018055556
Niger,NER,1.046059930293611
Nigeria,NGA,2.034697592638889
Niue,NIU,5.813465027777777
North Korea,PRK,6.322637884722222
North Macedonia,MKD,3.7952344166666667
Northern Mariana Islands,MNP,4.445440413888889
Norway,NOR,5.183256783333333
Oman,OMN,4.235550006944444
Pakistan,PAK,1.1019238857916662
Palau,PLW,9.515075684722222
Palestine,PSE,4.560442904166667
Panama,PAN,4.854995983333334
Papua New Guinea,PNG,4.252075247222222
Paraguay,PRY,4.5545878958333335
Peru,PER,3.8662781811111113
Philippines,PHL,3.4629308305555555
Poland,POL,7.489131295833333
Portugal,PRT,6.468398330555556
Puerto Rico,PRI,7.301706380555555
Qatar,QAT,2.8138900958333335
Reunion,REU,7.698627852777777
Romania,ROU,5.665784936111111
Russia,RUS,10.754303819444445
Rwanda,RWA,2.3994501794444445
Saint Barthelemy,BLM,4.994705247222222
Saint Helena,SHN,5.365289798611111
Saint Kitts and Nevis,KNA,5.266257175
Saint Lucia,LCA,4.441089422222222
Saint Martin (French part),MAF,6.115846116666667
Saint Pierre and Miquelon,SPM,10.804770568055556
Saint Vincent and the Grenadines,VCT,4.4197626
Samoa,WSM,4.479730870416667
San Marino,SMR,4.897011109722222
Sao Tome and Principe,STP,3.7453040958333332
Saudi Arabia,SAU,2.9865358694444444
Senegal,SEN,2.250129532388889
Serbia,SRB,5.124725297222223
Seychelles,SYC,8.464479227777778
Sierra Leone,SLE,2.474845758333333
Singapore,SGP,5.314937425
Sint Maarten (Dutch part),SXM,3.9160305611111115
Slovakia,SVK,6.772459658333333
Slovenia,SVN,6.868196959722222
Solomon Islands,SLB,4.127738168055555
Somalia,SOM,3.2712986125000003
South Africa,ZAF,5.046406895833333
South Korea,KOR,7.865134654166667
South Sudan,SSD,3.7788835568055554
Spain,ESP,5.908662473611111
Sri Lanka,LKA,6.661549720833333
Sudan,SDN,4.6937017955555556
Suriname,SUR,5.6517657013888885
Sweden,SWE,4.586259625
Switzerland,CHE,5.5628899333333335
Syria,SYR,3.8658416486111107
Taiwan,TWN,5.466346913888889
Tajikistan,TJK,5.1612366
Tanzania,TZA,3.467147363888889
Thailand,THA,6.990347665277778
Togo,TGO,2.0786664303611113
Tokelau,TKL,1.8473134058333334
Tonga,TON,6.466448191666667
Trinidad and Tobago,TTO,4.9913915
Tunisia,TUN,4.104304315277778
Turkey,TUR,6.397219073611111
Turkmenistan,TKM,7.1080926875
Turks and Caicos Islands,TCA,4.125819618055555
Tuvalu,TUV,4.18633609
Uganda,UGA,4.919873394444444
Ukraine,UKR,9.073791459722223
United Arab Emirates,ARE,4.534013590277778
United Kingdom,GBR,5.240753577777778
United States,USA,6.335129631944445
United States Virgin Islands,VIR,7.330593490277778
Uruguay,URY,7.526606851388888
Uzbekistan,UZB,5.851487493055555
Vanuatu,VUT,3.69002205
Venezuela,VEN,5.706098172222222
Vietnam,VNM,9.427398561111112
Wallis and Futuna,WLF,1.4839764213055555
Western Sahara,ESH,5.146300320833333
Yemen,YEM,4.677633381944444
Zambia,ZMB,2.9984308847222225
Zimbabwe,ZWE,4.3351374611111115
